,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
1,0,16,556,0,0,9,51507,0,0,0,0,123.8,3,0,2,0.0,0.0,0,Laurent,0.3,32,2,95.5,4,False,692.0,0,0,0,0,2225,Achilles injury - Unknown return date,2018-05-03T21:31:18Z,60,0,0,0,51507.jpg,4.0,0,0,Koscielny,1.5,False,6,i,1,3,137.0,100,205878,0,199153,0,0.1,16.7,Koscielny,4,62,55
2,4,11,656,100,100,12,98745,0,0,-1,1,561.0,2,0,2,4.8,5.2,6,Héctor,4.2,44,2,160.1,7,False,554.0,0,0,0,0,3050,,2018-03-07T19:31:17Z,59,0,0,0,98745.jpg,3.8,0,0,Bellerín,10.3,False,24,a,1,3,484.0,132,748052,0,960552,0,0.7,22.4,Bellerín,5,60,81
3,0,0,0,0,0,0,80254,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,0,0,0,0,Season-long loan to Birmingham,2017-08-22T14:57:50Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.2,False,25,u,1,3,0.0,0,751,0,13677,0,0.0,0.0,Jenkinson,0,4,0
4,2,15,604,100,100,10,38411,0,0,2,-2,238.7,3,0,2,3.2,3.0,1,Nacho,2.0,29,5,124.0,10,False,693.6,0,0,0,0,2241,,2018-02-25T19:31:19Z,57,0,0,0,38411.jpg,4.6,0,0,Monreal,8.0,False,18,a,1,3,305.0,130,1603695,0,1476893,0,0.4,22.8,Monreal,3,77,63
5,1,1,196,100,100,3,156074,0,0,-6,6,39.3,0,0,2,1.2,2.3,7,Rob,1.3,17,0,27.5,11,False,212.2,0,0,0,0,819,,2017-11-05T19:31:15Z,44,0,0,0,156074.jpg,2.3,0,0,Holding,0.7,False,16,a,1,3,24.0,27,29403,0,111188,0,0.3,6.1,Holding,3,24,92
6,1,13,610,100,100,10,69140,0,0,-1,1,129.9,2,0,2,1.6,3.0,9,Shkodran,2.0,30,3,117.0,12,False,836.6,0,0,0,0,2272,,2018-03-11T16:01:19Z,54,0,0,0,69140.jpg,4.0,0,0,Mustafi,4.2,False,20,a,1,3,202.0,109,593921,0,492651,0,0.4,20.2,Mustafi,6,80,55
7,4,6,510,100,100,10,111457,0,0,-2,2,334.9,2,0,2,4.0,4.5,6,Sead,3.5,30,2,118.3,13,False,443.2,0,0,0,0,2146,,2018-04-29T17:01:20Z,58,0,0,0,111457.jpg,4.0,0,0,Kolasinac,6.1,False,31,a,1,3,404.0,108,833275,0,1171952,0,0.6,18.6,Kolasinac,3,81,81
18,0,0,171,100,100,2,101184,0,0,-3,3,40.0,0,0,2,2.8,2.5,0,Calum,1.5,14,0,40.2,480,False,227.8,0,0,0,0,864,,2018-03-11T13:31:19Z,47,0,0,0,101184.jpg,1.9,0,0,Chambers,0.4,False,21,a,1,3,134.0,23,26699,0,29485,0,0.3,4.9,Chambers,1,60,92
22,0,0,41,0,0,1,233963,0,0,-3,3,1.3,0,0,2,0.0,0.0,0,Konstantinos,0.7,5,0,5.5,595,False,52.2,0,0,0,0,194,Suspended until 11 Aug,2018-05-09T19:31:19Z,42,0,0,0,233963.jpg,1.3,1,0,Mavropanos,0.0,False,27,s,1,3,2.0,4,3828,0,1881,0,0.2,1.0,Mavropanos,0,3,0
27,1,3,491,100,100,4,15149,0,0,-2,2,418.4,0,0,2,3.5,2.8,0,Simon,2.8,47,0,131.0,32,False,726.8,0,0,0,0,2708,,2018-04-07T13:01:18Z,43,0,0,0,15149.jpg,1.8,1,0,Francis,1.3,False,2,a,2,91,163.0,56,128178,0,204320,0,0.7,13.0,Francis,8,40,92
28,1,9,495,100,100,5,56917,0,0,-4,4,65.6,2,0,2,2.5,2.4,2,Steve,2.4,53,2,120.6,33,False,870.0,0,0,0,0,2764,,2018-02-11T12:01:19Z,46,1,0,0,56917.jpg,2.4,0,0,Cook,1.1,False,3,a,2,91,271.0,83,137885,0,127872,0,0.5,18.0,Steve Cook,5,85,47
29,3,4,587,100,100,6,41320,0,0,-3,3,479.7,0,0,2,2.3,2.8,5,Charlie,2.8,50,1,125.9,34,False,582.2,0,0,0,0,3001,,2017-12-30T15:01:17Z,47,0,0,0,41320.jpg,2.7,0,0,Daniels,6.6,False,11,a,2,91,196.0,94,592879,0,1178667,0,0.6,20.0,Daniels,0,44,118
30,3,3,376,0,0,2,54469,0,0,-2,2,345.5,0,0,2,0.0,0.0,0,Adam,0.0,38,1,94.5,35,False,455.0,0,0,0,0,2067,Knee injury - Unknown return date,2018-03-17T16:31:18Z,48,0,0,0,54469.jpg,2.1,0,0,Smith,0.4,False,15,i,2,91,144.0,56,36683,0,71957,0,0.0,11.7,Adam Smith,6,70,92
