,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
2,1,19,723,0,75,10,51507,0,0,1,-1,53.9,3,493,2,1.7,0.0,-2,Laurent,0.0,37,2,112.7,3,False,831.2,0,0,0,0,2821,Suspended - unknown return date,61,0,0,0,51507.jpg,3.7,1,0,Koscielny,11.2,False,6,s,1,3,239.0,121,965040,0,857277,0,0.0,19.8,Koscielny,4,100,71
3,0,0,5,100,100,0,17127,0,0,-2,2,0.1,0,265,2,0.0,0.0,1,Per,0.0,1,0,1.8,4,False,17.8,0,0,0,0,38,,48,0,0,0,17127.jpg,1.0,0,0,Mertesacker,0.2,False,4,a,1,3,0.0,1,2141,0,5912,0,0.0,0.2,Mertesacker,0,16,7
4,0,2,296,75,100,5,158074,0,0,-2,2,84.5,0,244,2,1.0,0.0,0,Gabriel Armando,0.0,18,0,50.0,5,False,295.8,0,0,0,0,1517,Knee injury - 75% chance of playing,48,0,0,0,158074.jpg,2.4,0,0,de Abreu,0.8,False,5,d,1,3,119.0,45,119600,0,100361,0,0.0,9.4,Gabriel,6,0,2
5,5,12,569,100,100,10,98745,0,0,0,0,508.3,2,541,2,3.8,0.0,8,Héctor,0.0,34,1,133.8,6,False,437.6,0,0,0,0,2503,,65,0,0,0,98745.jpg,3.6,0,0,Bellerín,13.9,False,24,a,1,3,395.0,119,403777,0,1025895,0,0.0,18.3,Bellerín,4,132,110
6,1,3,201,75,100,6,42427,0,0,-3,3,171.4,1,69,2,4.7,0.0,0,Kieran,0.0,3,0,43.1,7,False,142.4,0,0,0,0,702,Thigh injury - 75% chance of playing,47,0,0,0,42427.jpg,4.1,0,0,Gibbs,1.7,False,3,d,1,3,117.0,45,70359,0,30650,0,0.0,9.6,Gibbs,3,86,81
7,0,0,2,100,100,0,27334,0,0,-4,4,1.4,0,11,2,0.0,0.0,0,Mathieu,0.0,0,0,0.2,8,False,1.0,0,0,0,0,15,,46,0,0,0,27334.jpg,1.0,0,0,Debuchy,0.2,False,2,a,1,3,0.0,1,2211,0,10701,0,0.0,0.2,Debuchy,0,0,0
8,0,0,12,100,100,0,80254,0,0,-2,2,2.0,0,178,2,0.0,0.0,0,Carl,0.0,1,0,2.1,9,False,19.4,0,0,0,0,82,,48,0,0,0,80254.jpg,2.0,0,0,Jenkinson,0.1,False,25,a,1,3,0.0,2,9727,0,10032,0,0.0,0.4,Jenkinson,0,0,0
9,3,9,681,100,100,11,38411,0,0,-1,1,280.3,1,511,2,5.2,0.0,2,Nacho,0.0,43,0,105.8,10,False,554.0,0,0,0,0,3153,,59,0,0,0,38411.jpg,3.2,0,0,Monreal,6.4,False,18,a,1,3,220.0,115,299355,0,273214,0,0.0,19.5,Monreal,5,130,71
10,1,7,499,100,100,7,101184,0,0,-2,2,107.0,0,70,2,2.2,-1.0,1,Calum,0.0,37,2,88.0,11,False,692.2,0,0,0,0,2250,,43,0,0,0,101184.jpg,3.3,0,0,Chambers,3.4,False,25,a,12,25,80.0,83,314186,0,321291,0,0.0,19.3,Chambers,4,23,23
26,1,7,639,100,100,10,15149,0,0,0,0,291.2,1,462,2,3.8,-0.5,1,Simon,0.0,54,0,117.3,31,False,748.2,0,0,0,0,2938,,45,0,0,0,15149.jpg,2.6,1,0,Francis,1.4,False,2,a,2,91,130.0,89,172920,0,176907,0,0.0,19.8,Francis,4,56,71
27,0,17,777,100,100,10,56917,0,0,-2,2,66.2,1,443,2,3.3,-0.5,2,Steve,0.0,67,2,158.2,32,False,1123.0,0,0,0,0,3420,,48,1,0,0,56917.jpg,2.9,0,0,Cook,3.2,False,3,a,2,91,391.0,112,252167,0,158758,0,0.0,23.3,Steve Cook,5,83,71
28,3,14,692,100,100,10,41320,0,0,2,-2,528.3,5,491,2,5.3,-0.5,2,Charlie,0.0,53,4,152.9,33,False,698.2,0,0,0,0,3060,,52,0,0,0,41320.jpg,3.9,0,0,Daniels,9.9,False,11,a,2,91,302.0,134,869600,0,648348,0,0.0,25.8,Daniels,1,94,71
29,5,12,645,100,100,8,54469,0,0,1,-1,509.8,1,297,2,5.3,-0.5,2,Adam,0.0,61,1,132.1,34,False,566.6,0,0,0,0,3101,,46,1,0,0,54469.jpg,2.9,0,0,Smith,7.0,False,15,a,2,91,242.0,104,700992,0,532703,0,0.0,22.6,Smith,6,56,71
30,0,2,89,100,100,0,149484,0,0,0,0,18.3,0,1,2,-0.5,-0.5,0,Tyrone,0.0,16,0,18.9,35,False,125.4,0,0,0,0,506,,45,2,0,0,149484.jpg,0.6,0,0,Mings,0.0,False,26,a,2,91,45.0,4,1890,0,2242,0,0.0,0.9,Mings,0,3,4
31,1,8,267,100,100,3,126184,0,0,-6,6,55.5,2,232,2,2.3,1.5,0,Nathan,0.0,20,3,57.5,36,False,373.2,0,0,0,0,834,,39,0,0,0,126184.jpg,4.6,0,0,Aké,6.1,False,6,a,4,8,147.0,55,662287,0,504357,0,0.0,14.1,Aké,1,102,48
46,2,5,631,100,100,9,68983,0,0,0,0,491.5,0,0,2,2.0,0.0,1,Matthew,0.0,53,0,134.2,55,False,770.6,0,0,0,0,3240,,45,0,0,0,68983.jpg,2.5,0,0,Lowton,0.8,False,2,a,3,90,80.0,90,59732,0,42770,0,0.0,20.0,Lowton,9,89,71
