,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
0,0,7,627,100,100,11,11334,0,0,-2,2,0.0,1,0,1,3.0,2.7,0,Petr,1.7,48,0,71.9,2,False,722.4,0,0,0,0,3039,,2018-04-22T12:01:20Z,53,0,0,1,11334.jpg,3.6,0,90,Cech,4.5,False,33,a,1,3,0.0,124,183262,0,294471,0,0.3,23.4,Cech,1,24,0
25,0,6,631,100,100,6,40349,0,0,0,0,20.0,3,0,1,3.5,3.4,3,Asmir,3.4,61,0,80.8,29,False,790.8,0,0,0,0,3420,,2018-03-19T12:31:17Z,45,0,0,1,40349.jpg,2.9,0,111,Begovic,4.1,False,27,a,2,91,0.0,112,225786,0,295513,0,0.8,24.9,Begovic,2,63,73
26,0,0,0,None,None,0,18726,0,0,-4,4,0.0,0,0,1,0.0,0.0,0,Artur,0.0,0,0,0.0,30,False,0.0,0,0,0,0,0,,None,41,0,0,0,18726.jpg,0.0,0,0,Boruc,1.3,False,1,a,2,91,0.0,0,10441,0,160441,0,0.0,0.0,Boruc,0,46,58
49,0,13,726,None,None,10,131897,0,0,1,-1,0.0,3,0,1,3.5,3.0,2,Mathew,4.5,54,0,91.1,54,False,911.6,0,0,0,0,3420,,None,46,0,0,2,131897.jpg,3.8,0,124,Ryan,3.4,False,1,a,3,36,0.0,146,315791,0,155129,0,1.0,31.7,Ryan,0,104,73
68,0,0,48,100,100,0,21205,0,0,-3,3,0.0,0,0,1,0.0,0.0,0,Tom,0.0,4,0,5.3,74,False,53.4,0,0,0,0,305,,2017-09-10T13:31:14Z,47,0,0,0,21205.jpg,2.0,0,8,Heaton,1.7,False,1,a,4,90,0.0,8,20486,0,366889,0,0.0,1.7,Heaton,0,58,58
88,0,19,701,None,None,11,98747,0,0,5,-5,40.0,3,0,1,3.0,2.8,2,Nick,2.8,35,0,90.1,469,False,862.4,0,0,0,0,3114,,None,50,0,0,1,98747.jpg,4.3,0,113,Pope,10.1,False,29,a,4,90,0.0,152,976815,0,442451,0,0.6,30.4,Pope,3,0,0
90,0,0,0,None,None,0,39725,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Anders,0.0,0,0,0.0,554,False,0.0,0,0,0,0,0,,None,40,0,0,0,39725.jpg,0.0,0,0,Lindegaard,0.2,False,22,a,4,90,0.0,0,15512,0,7503,0,0.0,0.0,Lindegaard,0,0,0
93,0,4,635,100,100,15,60772,0,0,-2,2,0.0,0,0,1,4.3,4.0,2,Thibaut,3.5,34,0,55.2,94,False,549.0,0,0,0,0,3150,,2018-05-09T18:31:22Z,53,0,0,0,60772.jpg,3.9,0,77,Courtois,10.3,False,13,a,5,8,0.0,136,530384,0,901183,0,0.7,25.7,Courtois,2,0,0
94,0,0,54,None,None,1,20310,0,0,-2,2,0.0,0,0,1,0.9,0.8,0,Willy,0.3,4,0,5.5,96,False,55.2,0,0,0,0,270,,None,48,0,0,0,20310.jpg,3.7,0,7,Caballero,0.1,False,1,a,5,8,0.0,11,11018,0,13325,0,0.1,2.3,Caballero,0,13,0
117,0,11,506,100,100,7,20066,0,0,-1,1,10.0,2,0,1,5.0,5.3,6,Wayne,4.8,41,0,61.4,115,False,603.8,0,0,0,0,2430,,2017-12-02T16:31:15Z,44,0,0,0,20066.jpg,3.7,0,91,Hennessey,3.1,False,13,a,6,31,0.0,99,229926,0,141399,0,1.1,22.5,Hennessey,1,67,73
