,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
8,9,11,506,25,25,8,37605,0,0,-2,2,1287.5,2,0,3,0.3,0.3,0,Mesut,0.0,36,4,248.6,16,False,640.6,0,0,0,0,2161,Back injury - 25% chance of playing,2018-05-06T15:31:20Z,93,0,0,0,37605.jpg,4.3,0,0,Özil,2.1,False,11,d,1,3,555.0,112,358328,0,408304,0,0.0,12.0,Özil,4,89,99
9,10,12,503,100,100,9,41792,0,0,-2,2,478.3,3,0,3,4.0,4.5,6,Aaron,3.5,25,7,184.2,18,False,631.2,0,0,0,0,1844,,2018-04-13T09:01:18Z,68,0,0,0,41792.jpg,5.4,0,0,Ramsey,4.5,False,8,a,1,3,734.0,130,1257144,0,1139322,0,0.5,19.1,Ramsey,0,91,98
10,5,2,426,100,100,9,153133,0,0,-4,4,592.9,0,0,3,4.2,4.2,3,Alex,3.2,26,3,165.6,21,False,430.0,0,0,0,0,1827,,2018-04-29T20:01:18Z,51,0,0,0,153133.jpg,3.4,0,0,Iwobi,1.0,False,17,a,1,3,635.0,89,127206,0,223267,0,0.6,17.5,Iwobi,1,99,98
11,1,0,156,0,0,3,153256,0,0,-3,3,194.4,0,0,3,0.0,0.0,0,Mohamed,0.5,12,0,42.5,22,False,138.2,0,0,0,0,865,Ankle injury - Unknown return date,2018-04-22T14:01:18Z,42,0,0,0,153256.jpg,1.7,1,0,Elneny,3.0,False,35,i,1,3,92.0,22,309421,0,356216,0,0.1,5.2,Elneny,3,10,79
12,8,3,593,100,100,12,84450,0,0,-4,4,822.8,1,0,3,4.0,4.0,3,Granit,3.0,50,1,195.3,23,False,753.4,0,0,0,0,3259,,2018-04-15T12:31:19Z,51,0,0,0,84450.jpg,2.9,0,0,Xhaka,7.0,False,29,a,1,3,378.0,109,987715,0,1106599,0,0.6,21.4,Xhaka,10,90,88
13,3,2,236,100,100,4,54102,0,0,-5,5,281.8,0,0,3,2.2,2.0,0,Jack,1.0,16,1,71.0,24,False,258.4,0,0,0,0,1185,,2018-04-19T08:31:17Z,50,0,0,0,54102.jpg,2.3,0,0,Wilshere,0.7,False,10,a,1,3,169.0,46,153990,0,129077,0,0.2,9.2,Wilshere,6,17,62
17,9,9,411,100,100,12,57249,0,0,-3,3,727.8,3,0,3,3.6,3.7,3,Henrikh,2.7,17,3,163.8,281,False,506.8,0,0,0,0,1712,,2018-04-29T20:01:18Z,77,0,0,0,57249.jpg,4.1,0,0,Mkhitaryan,7.5,False,7,a,1,3,400.0,107,2270366,0,2414977,0,0.4,13.9,Mkhitaryan,2,98,98
19,0,0,23,None,None,0,200641,0,0,-3,3,29.7,0,0,3,1.4,1.3,0,Reiss,0.3,3,0,5.3,489,False,12.0,0,0,0,0,144,,None,47,0,0,0,200641.jpg,1.7,0,0,Nelson,0.0,False,61,a,1,3,11.0,5,1836,0,3407,0,0.1,1.1,Nelson,0,0,0
20,0,0,160,100,100,3,154043,0,0,0,0,141.3,0,0,3,2.0,2.0,1,Ainsley,1.0,16,0,37.8,546,False,168.4,0,0,0,0,908,,2018-04-15T12:31:19Z,45,0,0,0,154043.jpg,1.7,0,0,Maitland-Niles,0.1,False,30,a,1,3,67.0,25,15922,0,12490,0,0.2,5.6,Maitland-Niles,1,34,79
24,0,0,8,None,None,0,200089,0,0,0,0,5.8,0,0,3,1.6,1.5,0,Joseph,0.5,2,0,1.8,634,False,8.2,0,0,0,0,81,,None,45,0,0,0,200089.jpg,1.5,0,0,Willock,0.0,False,69,a,1,3,4.0,3,239,0,127,0,0.1,0.7,Willock,0,4,0
