,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
14,2,6,249,100,100,4,50175,0,0,-2,2,212.8,2,0,4,2.2,2.2,1,Danny,1.2,21,5,96.0,26,False,309.8,0,0,0,0,1178,,2018-04-01T20:31:18Z,73,0,0,0,50175.jpg,2.5,0,0,Welbeck,1.2,False,23,a,1,3,435.0,70,218953,0,233314,0,0.2,9.6,Welbeck,1,19,28
15,0,0,0,0,0,0,155851,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Lucas,0.0,0,0,0.0,27,False,0.0,0,0,0,0,0,Joined Deportivo La Coruna on loan for the season,2017-08-31T18:31:14Z,74,0,0,0,155851.jpg,0.0,0,0,Pérez,0.1,False,28,u,1,3,0.0,0,550,0,9141,0,0.0,0.0,Pérez,0,33,0
16,5,11,543,100,100,10,59966,0,0,-2,2,566.0,2,0,4,7.2,6.5,2,Alexandre,5.5,28,14,258.0,28,False,725.6,0,0,0,0,2197,,2018-04-01T12:31:19Z,103,0,0,0,59966.jpg,4.3,0,0,Lacazette,7.6,False,9,a,1,3,1291.0,138,1367817,0,1826713,0,0.5,13.4,Lacazette,1,166,23
21,0,0,10,None,None,0,205533,0,0,0,0,1.9,0,0,4,1.4,1.3,0,Edward,0.3,1,0,2.3,560,False,5.0,0,0,0,0,17,,None,50,0,0,0,205533.jpg,1.0,0,0,Nketiah,0.0,False,62,a,1,3,17.0,3,4612,0,3779,0,0.1,0.6,Nketiah,0,10,0
23,4,12,354,100,100,4,54694,0,0,3,-3,207.1,2,0,4,7.8,8.0,8,Pierre-Emerick,7.0,15,10,127.1,616,False,484.0,0,0,0,0,1056,,2018-02-03T16:31:19Z,108,0,1,0,54694.jpg,6.7,0,0,Aubameyang,14.0,False,14,a,1,3,580.0,87,1545427,0,726140,0,0.6,8.1,Aubameyang,0,205,30
41,2,13,282,100,100,6,75115,0,0,-4,4,288.4,3,0,4,1.8,3.0,8,Callum,3.0,33,8,147.5,48,False,392.2,0,0,0,0,1981,,2017-12-17T16:31:16Z,56,0,0,0,75115.jpg,3.6,0,0,Wilson,4.5,False,13,a,2,91,799.0,102,1273721,0,1041094,0,0.5,18.2,Wilson,0,168,168
42,0,3,106,100,100,1,178304,0,0,-1,1,69.5,1,0,4,1.3,1.2,1,Lys,1.2,16,2,43.9,50,False,120.4,0,0,0,0,581,,2018-04-07T13:01:18Z,49,0,0,0,178304.jpg,1.6,0,0,Mousset,0.2,False,31,a,2,91,252.0,36,24091,0,20490,0,0.2,7.3,Mousset,1,28,28
43,4,10,381,100,100,7,78007,0,0,-5,5,556.7,0,0,4,3.0,3.8,7,Joshua,3.8,38,8,203.7,51,False,577.0,0,0,0,0,2450,,2018-03-21T17:31:17Z,70,0,0,0,78007.jpg,3.3,0,0,King,1.9,False,17,a,2,91,902.0,110,185282,0,386325,0,0.5,15.7,King,3,141,141
44,2,5,191,100,100,2,7958,0,0,-4,4,144.9,1,0,4,1.0,1.6,4,Jermain,1.6,21,4,88.9,52,False,209.4,0,0,0,0,1075,,2018-02-24T14:01:18Z,76,0,0,0,7958.jpg,2.5,0,0,Defoe,1.4,False,18,a,2,91,539.0,60,54550,0,215668,0,0.2,7.9,Defoe,1,4,28
59,0,16,319,100,100,8,20529,0,0,-1,1,271.8,2,0,4,0.3,0.2,1,Glenn,1.7,36,12,153.1,71,False,492.4,0,0,0,0,2184,,2017-10-01T11:01:15Z,59,0,2,0,20529.jpg,3.2,0,0,Murray,5.7,False,17,a,3,36,779.0,111,937743,0,660546,0,0.3,18.8,Murray,9,129,168
